Type,Time,Error,Gradient Type,MF Type
sinus 1 Input 3 Sets 250 Epochs Mini-Batch Gradient Descent two equations mf,0.8128144559999995,0.00023668594,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 250 Epochs Mini-Batch Gradient Descent one equation mf,0.7568731020000006,0.0019111909,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent two equations mf,0.2985468789999999,0.04316041,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent one equation mf,0.281294065,0.0089918915,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent two equations mf,0.3001532760000001,0.043162756,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs Batch Gradient Descent one equation mf,0.28148899400000005,0.0089918915,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 40000 Epochs Stochastic Gradient Descent two equations mf,88.304187969,0.28848445,Stochastic Gradient Descent,two equations mf
sinus 1 Input 3 Sets 40000 Epochs Stochastic Gradient Descent one equation mf,81.91666239700001,0.54447824,Stochastic Gradient Descent,one equation mf
sinus 1 Input 3 Sets 500 Epochs Mini-Batch Gradient Descent two equations mf,1.4330715830000003,0.00019993485,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.3706561430000006,0.00018236013,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 100 Epochs Batch Gradient Descent two equations mf,0.41697856499999997,0.00040645179,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 100 Epochs Batch Gradient Descent one equation mf,0.3969706249999998,0.003219471,Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 1000 Epochs Mini-Batch Gradient Descent one equation mf,2.625355901,0.06628252,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 3 Sets 1000 Epochs Mini-Batch Gradient Descent two equations mf,2.630359307,0.00026092606,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 200 Epochs Batch Gradient Descent two equations mf,0.6623741440000002,0.00021371334,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 200 Epochs Batch Gradient Descent one equation mf,0.6367663080000003,0.0018732101,Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 50 Epochs Mini-Batch Gradient Descent two equations mf,0.37654549999999976,0.0069568525,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 50 Epochs Mini-Batch Gradient Descent one equation mf,0.33989543499999986,0.008615398,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 10 Epochs Batch Gradient Descent two equations mf,0.3484335660000002,0.13251883,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 10 Epochs Batch Gradient Descent one equation mf,0.22930262400000023,0.099374294,Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 250 Epochs Mini-Batch Gradient Descent two equations mf,0.9414902239999998,0.00035056792,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 250 Epochs Mini-Batch Gradient Descent one equation mf,0.8741898450000001,0.00118609,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 50 Epochs Batch Gradient Descent two equations mf,0.3752207620000001,0.0049143583,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 50 Epochs Batch Gradient Descent one equation mf,0.3328462440000002,0.00453867,Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 500 Epochs Mini-Batch Gradient Descent two equations mf,1.6603801550000004,0.00024776589,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.5533062689999997,0.0003374917,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 100 Epochs Batch Gradient Descent two equations mf,0.5142790059999998,0.0004016887,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 100 Epochs Batch Gradient Descent one equation mf,0.4745700999999998,0.0018595988,Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 1000 Epochs Mini-Batch Gradient Descent two equations mf,3.1867686010000003,0.00022743008,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 1000 Epochs Mini-Batch Gradient Descent one equation mf,2.8852845740000004,0.00027119,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 200 Epochs Batch Gradient Descent two equations mf,0.776607018,0.0002843869,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 200 Epochs Batch Gradient Descent one equation mf,0.7370663629999994,0.0013506751,Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 5000 Epochs Mini-Batch Gradient Descent two equations mf,14.430651622,9.595953e-05,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,13.626119326999998,0.00021158444,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 4 Sets 1000 Epochs Batch Gradient Descent two equations mf,3.018810386,7.3888325e-05,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.806150274,0.00018266727,Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 4000 Epochs Stochastic Gradient Descent two equations mf,12.022375578000002,0.22421342,Stochastic Gradient Descent,two equations mf
sinus 1 Input 5 Sets 4000 Epochs Stochastic Gradient Descent one equation mf,10.892609628999999,0.27204823,Stochastic Gradient Descent,one equation mf
sinus 1 Input 5 Sets 50 Epochs Mini-Batch Gradient Descent two equations mf,0.43566460600000045,0.0058649997,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 50 Epochs Mini-Batch Gradient Descent one equation mf,0.4067596550000001,0.0046942355,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 10 Epochs Batch Gradient Descent two equations mf,0.31704274800000043,0.13855267,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 10 Epochs Batch Gradient Descent one equation mf,0.2775689529999994,0.09904847,Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 20000 Epochs Stochastic Gradient Descent two equations mf,58.798894516999994,0.31498647,Stochastic Gradient Descent,two equations mf
sinus 1 Input 5 Sets 20000 Epochs Stochastic Gradient Descent one equation mf,52.903596453999995,0.2111024,Stochastic Gradient Descent,one equation mf
sinus 1 Input 5 Sets 250 Epochs Mini-Batch Gradient Descent two equations mf,1.0897406840000006,0.0004843186,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 250 Epochs Mini-Batch Gradient Descent one equation mf,0.9998127860000001,0.0009854035,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 50 Epochs Batch Gradient Descent two equations mf,0.4367092939999999,0.0033160818,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 50 Epochs Batch Gradient Descent one equation mf,0.4113832099999999,0.0029419896,Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 500 Epochs Mini-Batch Gradient Descent two equations mf,1.9211251979999995,5.7435118e-05,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.762779966,0.00022699646,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 100 Epochs Batch Gradient Descent two equations mf,0.590951939,0.00028158256,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 100 Epochs Batch Gradient Descent one equation mf,0.5461259929999995,0.0005437989,Batch Gradient Descent,one equation mf
sinus 1 Input 5 Sets 25000 Epochs Mini-Batch Gradient Descent two equations mf,80.91809637,7.613514e-05,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 25000 Epochs Mini-Batch Gradient Descent one equation mf,75.3802847,0.00087323354,Mini-Batch Gradient Descent,one equation mf
